drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
quinidine,3237,35500,0.5796,NA,NA,NA,NA,14120,1.345,NA,NA,NA,NA,344.8,0.9524
quinidine,3237,33900,0.6272,NA,NA,NA,NA,13510,1.329,NA,NA,NA,NA,339.8,1.092
quinidine,3237,62480,0.5439,NA,NA,NA,NA,12350,1.523,NA,NA,NA,NA,310.7,1.059
quinidine,3237,51180,0.6031,NA,NA,NA,NA,17200,1.125,NA,NA,NA,NA,269.4,1.108
quinidine,3237,53110,0.5846,NA,NA,NA,NA,23850,1.113,NA,NA,NA,NA,279.8,1.037
quinidine,3237,31770,0.7501,NA,NA,NA,NA,11960,1.742,NA,NA,NA,NA,339.6,1.355
quinidine,3237,26090,0.7551,NA,NA,NA,NA,13670,1.42,NA,NA,NA,NA,247.6,0.889
quinidine,3237,33690,0.6517,NA,NA,NA,NA,16870,1.136,NA,NA,NA,NA,287.8,1.002
quinidine,3237,60970,0.5431,NA,NA,NA,NA,11620,1.468,NA,NA,NA,NA,259,1.017
quinidine,3237,47870,0.6039,NA,NA,NA,NA,14490,1.259,NA,NA,NA,NA,266.4,1.166
quinidine,3237,40270,0.6334,NA,NA,NA,NA,11090,1.559,NA,NA,NA,NA,368.1,0.9777
quinidine,3237,37390,0.6831,NA,NA,NA,NA,18940,1.023,NA,NA,NA,NA,234.4,0.7227
quinidine,3237,34320,0.701,NA,NA,NA,NA,32630,0.835,NA,NA,NA,NA,376.5,1.084
quinidine,3237,65250,0.5466,NA,NA,NA,NA,20460,1.067,NA,NA,NA,NA,423.8,1.099
quinidine,3237,63500,0.5405,NA,NA,NA,NA,13460,1.344,NA,NA,NA,NA,345.2,1.018
quinidine,3237,50740,0.6046,NA,NA,NA,NA,17730,1.166,NA,NA,NA,NA,286.2,0.9629
quinidine,3237,44270,0.6304,NA,NA,NA,NA,12060,1.478,NA,NA,NA,NA,334.3,1.029
quinidine,3237,40760,0.6338,NA,NA,NA,NA,13830,1.337,NA,NA,NA,NA,337,0.9152
quinidine,3237,39630,0.6422,NA,NA,NA,NA,17240,1.174,NA,NA,NA,NA,333,0.8181
quinidine,3237,41510,0.6369,NA,NA,NA,NA,11050,1.751,NA,NA,NA,NA,320.8,1.125
quinidine,3237,47580,0.5907,NA,NA,NA,NA,10630,1.471,NA,NA,NA,NA,388.4,1.339
quinidine,3237,37860,0.6362,NA,NA,NA,NA,14380,1.132,NA,NA,NA,NA,350.2,1.1
quinidine,3237,52030,0.5685,NA,NA,NA,NA,13670,1.526,NA,NA,NA,NA,341.9,1.063
quinidine,3237,42020,0.6312,NA,NA,NA,NA,16790,1.151,NA,NA,NA,NA,357.6,1.048
quinidine,3237,75130,0.5259,NA,NA,NA,NA,9922,1.905,NA,NA,NA,NA,476.1,1.194
quinidine,3237,72610,0.5246,NA,NA,NA,NA,10320,1.805,NA,NA,NA,NA,394.1,0.8771
quinidine,3237,61300,0.5792,NA,NA,NA,NA,20010,1.072,NA,NA,NA,NA,355.1,0.9842
quinidine,3237,66180,0.5473,NA,NA,NA,NA,20010,1.056,NA,NA,NA,NA,358.8,1.167
quinidine,3237,70170,0.5122,NA,NA,NA,NA,11970,1.463,NA,NA,NA,NA,266.4,0.88
quinidine,3237,42460,0.6231,NA,NA,NA,NA,14070,1.409,NA,NA,NA,NA,360.3,1.2
quinidine,3237,43550,0.6068,NA,NA,NA,NA,18590,1.136,NA,NA,NA,NA,415.5,1.783
quinidine,3237,52160,0.6184,NA,NA,NA,NA,17240,1.142,NA,NA,NA,NA,455.8,1.162
quinidine,3237,73800,0.6043,NA,NA,NA,NA,16240,1.154,NA,NA,NA,NA,297.8,1.147
quinidine,3237,64150,0.5355,NA,NA,NA,NA,9901,2,NA,NA,NA,NA,338.9,1.068
quinidine,3237,60970,0.5667,NA,NA,NA,NA,10980,1.911,NA,NA,NA,NA,354.5,1.171
quinidine,3237,56260,0.5954,NA,NA,NA,NA,11020,1.522,NA,NA,NA,NA,273.7,0.8268
quinidine,3237,56380,0.5688,NA,NA,NA,NA,12950,1.372,NA,NA,NA,NA,410.8,1.06
quinidine,3237,57250,0.5392,NA,NA,NA,NA,11290,1.674,NA,NA,NA,NA,317.4,0.9797
quinidine,3237,49890,0.6113,NA,NA,NA,NA,16300,1.135,NA,NA,NA,NA,318.6,0.9716
quinidine,3237,46800,0.5898,NA,NA,NA,NA,20930,1.081,NA,NA,NA,NA,432.9,1.099
quinidine,3237,31970,0.7286,NA,NA,NA,NA,11630,1.316,NA,NA,NA,NA,272.7,1.161
quinidine,3237,37370,0.6869,NA,NA,NA,NA,19930,0.9721,NA,NA,NA,NA,339.6,0.9403
quinidine,3237,39060,0.6418,NA,NA,NA,NA,28360,0.9718,NA,NA,NA,NA,324.3,0.8761
quinidine,3237,45720,0.6403,NA,NA,NA,NA,24530,0.9556,NA,NA,NA,NA,481.7,0.9439
quinidine,3237,31950,0.6953,NA,NA,NA,NA,22100,0.9672,NA,NA,NA,NA,580.9,1.013
quinidine,3237,54080,0.5761,NA,NA,NA,NA,26910,0.9715,NA,NA,NA,NA,438.7,1.471
quinidine,3237,43980,0.6358,NA,NA,NA,NA,17390,1.259,NA,NA,NA,NA,297.3,0.9505
quinidine,3237,36280,0.7066,NA,NA,NA,NA,12620,1.562,NA,NA,NA,NA,249.4,0.8525
quinidine,3237,54560,0.569,NA,NA,NA,NA,11280,1.678,NA,NA,NA,NA,236.4,1.088
quinidine,3237,35740,0.6442,NA,NA,NA,NA,11060,1.739,NA,NA,NA,NA,252.9,0.7931
quinidine,3237,29030,0.7615,NA,NA,NA,NA,12040,1.665,NA,NA,NA,NA,384.9,0.8275
quinidine,3237,68590,0.5341,NA,NA,NA,NA,21830,0.939,NA,NA,NA,NA,407.4,0.9318
quinidine,3237,65860,0.5482,NA,NA,NA,NA,12370,1.599,NA,NA,NA,NA,332.6,1.222
quinidine,3237,57640,0.545,NA,NA,NA,NA,12570,1.613,NA,NA,NA,NA,288.1,0.7652
quinidine,3237,55940,0.5739,NA,NA,NA,NA,11110,1.625,NA,NA,NA,NA,252.9,1.006
quinidine,3237,55790,0.6075,NA,NA,NA,NA,12380,1.491,NA,NA,NA,NA,296.8,0.9902
quinidine,3237,55450,0.5749,NA,NA,NA,NA,14350,1.386,NA,NA,NA,NA,305.6,1.048
quinidine,3237,55440,0.5676,NA,NA,NA,NA,11870,1.511,NA,NA,NA,NA,309.7,1.033
quinidine,3237,51390,0.5907,NA,NA,NA,NA,14250,1.233,NA,NA,NA,NA,366.4,1.51
quinidine,3237,47950,0.585,NA,NA,NA,NA,15590,1.221,NA,NA,NA,NA,396.6,1.605
quinidine,3237,76820,0.5392,NA,NA,NA,NA,16130,1.22,NA,NA,NA,NA,396.4,1.469
quinidine,3237,65490,0.5295,NA,NA,NA,NA,14130,1.305,NA,NA,NA,NA,389.1,1.084
quinidine,3237,52970,0.5543,NA,NA,NA,NA,12730,1.389,NA,NA,NA,NA,364.1,1.12
quinidine,3237,51680,0.5821,NA,NA,NA,NA,16940,1.165,NA,NA,NA,NA,429.3,1.331
quinidine,3237,46860,0.6084,NA,NA,NA,NA,10950,1.626,NA,NA,NA,NA,272.8,0.8493
quinidine,3237,29820,0.7692,NA,NA,NA,NA,17150,1.06,NA,NA,NA,NA,267.1,0.8669
quinidine,3237,27180,0.8266,NA,NA,NA,NA,11850,1.445,NA,NA,NA,NA,364.6,0.9219
quinidine,3237,59350,0.5411,NA,NA,NA,NA,13900,1.335,NA,NA,NA,NA,299.9,1.004
quinidine,3237,32520,0.7005,NA,NA,NA,NA,20830,1.037,NA,NA,NA,NA,358.1,1.334
quinidine,3237,49870,0.5745,NA,NA,NA,NA,12150,1.385,NA,NA,NA,NA,363.9,1.368
quinidine,3237,46510,0.5943,NA,NA,NA,NA,11680,1.574,NA,NA,NA,NA,338.1,0.9258
quinidine,3237,35190,0.7092,NA,NA,NA,NA,12690,1.451,NA,NA,NA,NA,329.6,0.8331
quinidine,3237,38690,0.6686,NA,NA,NA,NA,20870,1.088,NA,NA,NA,NA,328.6,0.8733
quinidine,3237,26580,0.7493,NA,NA,NA,NA,11220,1.615,NA,NA,NA,NA,372.6,0.9649
quinidine,3237,30800,0.7109,NA,NA,NA,NA,15920,1.455,NA,NA,NA,NA,369.7,1.154
quinidine,3237,44610,0.6354,NA,NA,NA,NA,16110,1.507,NA,NA,NA,NA,337,1.019
quinidine,3237,43590,0.638,NA,NA,NA,NA,12390,1.646,NA,NA,NA,NA,339.8,1.035
quinidine,3237,74130,0.5242,NA,NA,NA,NA,11800,1.583,NA,NA,NA,NA,343.3,1.047
quinidine,3237,45720,0.6002,NA,NA,NA,NA,18610,1.257,NA,NA,NA,NA,434.7,1.383
quinidine,3237,59040,0.5528,NA,NA,NA,NA,10570,1.806,NA,NA,NA,NA,301.7,0.7434
quinidine,3237,22260,0.7757,NA,NA,NA,NA,11130,1.555,NA,NA,NA,NA,238.7,0.5067
quinidine,3237,39190,0.6568,NA,NA,NA,NA,15350,1.221,NA,NA,NA,NA,188.3,0.6504
quinidine,3237,64320,0.596,NA,NA,NA,NA,13260,1.452,NA,NA,NA,NA,339.4,1.209
quinidine,3237,72460,0.5076,NA,NA,NA,NA,11500,1.597,NA,NA,NA,NA,246.6,0.7779
