Sample,dVm/dt
0,-0.395952
1,-0.402026
2,-0.395434
3,-0.403961
4,-0.404227
5,-0.400234
6,-0.398212
7,-0.401321
8,-0.396995
9,-0.398388
10,-0.401486
11,-0.399574
12,-0.404637
13,-0.404939
14,-0.405754
15,-0.399708
16,-0.394181
17,-0.397258
18,-0.400820
19,-0.400917
20,-0.396524
21,-0.398958
22,-0.400041
23,-0.406051
24,-0.404716
25,-0.401053
26,-0.399644
27,-0.386832
28,-0.401749
29,-0.397561
30,-0.399370
31,-0.399209
32,-0.401246
33,-0.397142
34,-0.400225
35,-0.401511
36,-0.398552
37,-0.395747
38,-0.411605
39,-0.397310
40,-0.397856
41,-0.403272
42,-0.406946
43,-0.401505
44,-0.394687
45,-0.401267
46,-0.401996
47,-0.398890
48,-0.401305
49,-0.403837
50,-0.400372
51,-0.400004
52,-0.386814
53,-0.396046
54,-0.390754
55,-0.400872
56,-0.401679
57,-0.399185
58,-0.395820
59,-0.399820
60,-0.406659
61,-0.398261
62,-0.399875
63,-0.403555
64,-0.400727
65,-0.403805
66,-0.399122
67,-0.396806
68,-0.401174
69,-0.392516
70,-0.400629
71,-0.401384
72,-0.399265
73,-0.401976
74,-0.407065
75,-0.398117
76,-0.401075
77,-0.400595
78,-0.403212
79,-0.399140
80,-0.397805
81,-0.389063
82,-0.404394
83,-0.397304
84,-0.409834
85,-0.404366
86,-0.398786
87,-0.399389
88,-0.398184
89,-0.399159
90,-0.399969
91,-0.394644
92,-0.400209
93,-0.398340
94,-0.405546
95,-0.402472
96,-0.406824
97,-0.397428
98,-0.397034
99,-0.402057
100,-0.412384
101,-0.403196
102,-0.400530
103,-0.395073
104,-0.394605
105,-0.399799
106,-0.399026
107,-0.401463
108,-0.394821
109,-0.394299
110,-0.400361
111,-0.399274
112,-0.399021
113,-0.402543
114,-0.398938
115,-0.402478
116,-0.399902
117,-0.386835
118,-0.388815
119,-0.404223
120,-0.399159
121,-0.398672
122,-0.405212
123,-0.394498
124,-0.400402
125,-0.398383
126,-0.401287
127,-0.402059
128,-0.404872
129,-0.407662
130,-0.406768
131,-0.406637
132,-0.402154
133,-0.404930
134,-0.400657
135,-0.400627
136,-0.399259
137,-0.396636
138,-0.403147
139,-0.396253
140,-0.408266
141,-0.400493
142,-0.402590
143,-0.401642
144,-0.403744
145,-0.403261
146,-0.397378
147,-0.395350
148,-0.394794
149,-0.401202
150,-0.401106
151,-0.406001
152,-0.401750
153,-0.402335
154,-0.407322
155,-0.402696
156,-0.397979
157,-0.410581
158,-0.406331
159,-0.412307
160,-0.408495
161,-0.401356
162,-0.401838
163,-0.399456
164,-0.399923
165,-0.396965
166,-0.400806
167,-0.399085
168,-0.397549
169,-0.398204
170,-0.400805
171,-0.401227
172,-0.405010
173,-0.403374
174,-0.403095
175,-0.402486
176,-0.399711
177,-0.398452
178,-0.404404
179,-0.409974
180,-0.404571
181,-0.404930
182,-0.406554
183,-0.406795
184,-0.392815
185,-0.397397
186,-0.398674
187,-0.401185
188,-0.398399
189,-0.397103
190,-0.398141
191,-0.401718
192,-0.404452
193,-0.405122
194,-0.397212
195,-0.398769
196,-0.399748
197,-0.407375
198,-0.402475
199,-0.410841
200,-0.408167
201,-0.409406
202,-0.404245
203,-0.396797
204,-0.395908
205,-0.401223
206,-0.385870
207,-0.395835
208,-0.401236
209,-0.395536
210,-0.404082
211,-0.400525
212,-0.404395
213,-0.395776
214,-0.400615
215,-0.399244
216,-0.402826
217,-0.408720
218,-0.402404
219,-0.400039
220,-0.397844
221,-0.401910
222,-0.399246
223,-0.402515
224,-0.401473
225,-0.400567
226,-0.400022
227,-0.403791
228,-0.398425
229,-0.404700
230,-0.401182
231,-0.401155
232,-0.397177
233,-0.397987
234,-0.396990
235,-0.403765
236,-0.397494
237,-0.396523
238,-0.402790
239,-0.395932
240,-0.399270
241,-0.397630
242,-0.403319
243,-0.390085
244,-0.390295
245,-0.398941
246,-0.395468
247,-0.399175
248,-0.399346
249,-0.400670
250,-0.401412
251,-0.397802
252,-0.403423
253,-0.403107
254,-0.402297
255,-0.404146
256,-0.395617
257,-0.406983
258,-0.396351
259,-0.401047
260,-0.400696
261,-0.397605
262,-0.394359
263,-0.401115
264,-0.402773
265,-0.399150
266,-0.406814
267,-0.399929
268,-0.384566
269,-0.401221
270,-0.401205
271,-0.403516
272,-0.399044
273,-0.397079
274,-0.395696
