V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-87.932374,0.012610,0.000085,7.278620,7.278706,144.644863,144.644836,1.619041,1.570454,0.000086,0.007396,0.695694,0.695683,0.695624,0.452144,0.695584,0.000191,0.497860,0.265334,0.001006,0.999549,0.574453,0.000512,0.999549,0.625744,0.000000,1.000000,0.899686,1.000000,0.999732,0.999964,1.000000,1.000000,0.002758,0.858237,0.000060,0.000000,0.000074,0.000418,0.000156,0.086795,0.039305,0.014957,33.000000,0.290050,0.000194,0.996778,0.000000,0.000000
-87.932380,0.012652,0.000085,7.276792,7.276878,144.646541,144.646514,1.620032,1.571191,0.000086,0.007396,0.695694,0.695684,0.695624,0.452144,0.695584,0.000191,0.498048,0.265841,0.001006,0.999549,0.575630,0.000512,0.999549,0.627040,0.000000,1.000000,0.900577,1.000000,0.999737,0.999965,1.000000,1.000000,0.002761,0.876197,0.000061,0.000000,0.000076,0.000425,0.000159,0.077973,0.034323,0.010787,33.000000,0.287989,0.000194,0.996778,0.000000,0.000000
-87.932493,0.012559,0.000085,7.279128,7.279214,144.644523,144.644496,1.618169,1.569883,0.000086,0.007396,0.695698,0.695688,0.695629,0.452149,0.695589,0.000191,0.498524,0.266987,0.001006,0.999549,0.578603,0.000512,0.999549,0.630439,0.000000,1.000000,0.902569,1.000000,0.999753,0.999967,1.000000,1.000000,0.002751,0.909701,0.000063,0.000000,0.000078,0.000310,0.000115,0.055482,0.024813,0.009439,33.000000,0.284892,0.000194,0.996778,0.000000,0.000000
-87.932290,0.012661,0.000085,7.278613,7.278699,144.644687,144.644661,1.619993,1.571128,0.000086,0.007396,0.695691,0.695681,0.695621,0.452140,0.695581,0.000191,0.497715,0.264972,0.001006,0.999549,0.573589,0.000512,0.999549,0.624751,0.000000,1.000000,0.898913,1.000000,0.999727,0.999963,1.000000,1.000000,0.002762,0.850010,0.000059,0.000000,0.000074,0.000491,0.000183,0.090742,0.042203,0.016237,33.000000,0.291444,0.000194,0.996778,0.000000,0.000000
-87.932547,0.012589,0.000085,7.278851,7.278936,144.644783,144.644756,1.618281,1.569747,0.000086,0.007396,0.695700,0.695690,0.695630,0.452151,0.695591,0.000191,0.498082,0.265865,0.001006,0.999549,0.575804,0.000512,0.999549,0.627283,0.000000,1.000000,0.900691,1.000000,0.999739,0.999965,1.000000,1.000000,0.002753,0.875104,0.000061,0.000000,0.000076,0.000433,0.000162,0.075600,0.035056,0.013510,33.000000,0.288373,0.000194,0.996778,0.000000,0.000000
-87.932487,0.012540,0.000085,7.278807,7.278893,144.644926,144.644900,1.617738,1.569565,0.000086,0.007396,0.695698,0.695687,0.695629,0.452148,0.695589,0.000191,0.498114,0.265947,0.001006,0.999549,0.576001,0.000512,0.999549,0.627519,0.000000,1.000000,0.900905,1.000000,0.999740,0.999965,1.000000,1.000000,0.002751,0.875353,0.000061,0.000000,0.000076,0.000427,0.000159,0.075541,0.034936,0.013448,33.000000,0.287912,0.000194,0.996778,0.000000,0.000000
-87.932358,0.012597,0.000085,7.278920,7.279005,144.644560,144.644533,1.619050,1.570591,0.000086,0.007396,0.695693,0.695683,0.695624,0.452143,0.695584,0.000191,0.498235,0.266264,0.001006,0.999549,0.576797,0.000512,0.999549,0.628376,0.000000,1.000000,0.901189,1.000000,0.999743,0.999966,1.000000,1.000000,0.002756,0.888590,0.000062,0.000000,0.000076,0.000372,0.000138,0.068008,0.030938,0.011817,33.000000,0.287354,0.000194,0.996778,0.000000,0.000000
-87.932457,0.012600,0.000085,7.278874,7.278960,144.644673,144.644646,1.618717,1.570172,0.000086,0.007396,0.695697,0.695686,0.695627,0.452147,0.695587,0.000191,0.498084,0.265874,0.001006,0.999549,0.575832,0.000512,0.999549,0.627301,0.000000,1.000000,0.900600,1.000000,0.999739,0.999965,1.000000,1.000000,0.002755,0.876777,0.000061,0.000000,0.000076,0.000435,0.000162,0.074529,0.034670,0.013290,33.000000,0.288495,0.000194,0.996778,0.000000,0.000000
-87.932389,0.012618,0.000085,7.278829,7.278915,144.644613,144.644586,1.619256,1.570646,0.000086,0.007396,0.695695,0.695684,0.695625,0.452144,0.695585,0.000191,0.498135,0.266006,0.001006,0.999549,0.576149,0.000512,0.999549,0.627638,0.000000,1.000000,0.900636,1.000000,0.999740,0.999965,1.000000,1.000000,0.002757,0.885668,0.000061,0.000000,0.000076,0.000397,0.000148,0.069451,0.031956,0.012243,33.000000,0.288436,0.000194,0.996778,0.000000,0.000000
-87.932409,0.012620,0.000085,7.279008,7.279093,144.644443,144.644416,1.619214,1.570577,0.000086,0.007396,0.695695,0.695685,0.695626,0.452145,0.695586,0.000191,0.498241,0.266275,0.001006,0.999549,0.576820,0.000512,0.999549,0.628395,0.000000,1.000000,0.901125,1.000000,0.999743,0.999966,1.000000,1.000000,0.002756,0.892757,0.000062,0.000000,0.000077,0.000362,0.000135,0.065492,0.029759,0.011357,33.000000,0.287531,0.000194,0.996778,0.000000,0.000000
-87.932774,0.012430,0.000085,7.278890,7.278975,144.645336,144.645309,1.615209,1.567579,0.000086,0.007395,0.695708,0.695698,0.695639,0.452161,0.695600,0.000191,0.498244,0.266250,0.001006,0.999549,0.576759,0.000512,0.999549,0.628450,0.000000,1.000000,0.901936,1.000000,0.999747,0.999966,1.000000,1.000000,0.002740,0.876652,0.000061,0.000000,0.000076,0.000450,0.000168,0.074288,0.034782,0.013524,33.000000,0.286128,0.000194,0.996778,0.000000,0.000000
-87.932289,0.012633,0.000085,7.278770,7.278856,144.644580,144.644553,1.619720,1.571064,0.000086,0.007396,0.695691,0.695681,0.695621,0.452140,0.695581,0.000191,0.498015,0.265710,0.001006,0.999549,0.575437,0.000512,0.999549,0.626830,0.000000,1.000000,0.900171,1.000000,0.999736,0.999965,1.000000,1.000000,0.002759,0.871987,0.000060,0.000000,0.000076,0.000449,0.000167,0.077367,0.036036,0.013859,33.000000,0.289186,0.000194,0.996778,0.000000,0.000000
-87.933283,0.012208,0.000085,7.278861,7.278946,144.646323,144.646296,1.610268,1.563762,0.000086,0.007395,0.695726,0.695715,0.695658,0.452182,0.695620,0.000191,0.498430,0.266692,0.001006,0.999549,0.577822,0.000512,0.999549,0.629805,0.000000,1.000000,0.903671,1.000000,0.999756,0.999967,1.000000,1.000000,0.002720,0.874945,0.000061,0.000000,0.000076,0.000434,0.000162,0.075672,0.035150,0.013500,33.000000,0.283070,0.000194,0.996778,0.000000,0.000000
-87.932453,0.012587,0.000085,7.278838,7.278924,144.644749,144.644722,1.618510,1.570039,0.000086,0.007396,0.695697,0.695686,0.695627,0.452147,0.695587,0.000191,0.498049,0.265791,0.001006,0.999549,0.575613,0.000512,0.999549,0.627061,0.000000,1.000000,0.900544,1.000000,0.999738,0.999965,1.000000,1.000000,0.002754,0.871349,0.000060,0.000000,0.000075,0.000418,0.000156,0.078270,0.035887,0.013785,33.000000,0.288550,0.000194,0.996778,0.000000,0.000000
-87.932606,0.012518,0.000085,7.278872,7.278958,144.644997,144.644970,1.617049,1.568943,0.000086,0.007395,0.695702,0.695692,0.695633,0.452153,0.695593,0.000191,0.498168,0.266077,0.001006,0.999549,0.576332,0.000512,0.999549,0.627915,0.000000,1.000000,0.901325,1.000000,0.999743,0.999966,1.000000,1.000000,0.002748,0.875182,0.000061,0.000000,0.000076,0.000434,0.000162,0.075540,0.035064,0.013482,33.000000,0.287187,0.000194,0.996778,0.000000,0.000000
-87.932376,0.012631,0.000085,7.278829,7.278915,144.644593,144.644566,1.619364,1.570653,0.000086,0.007396,0.695694,0.695684,0.695624,0.452144,0.695584,0.000191,0.497967,0.265590,0.001006,0.999549,0.575120,0.000512,0.999549,0.626483,0.000000,1.000000,0.900039,1.000000,0.999735,0.999964,1.000000,1.000000,0.002758,0.867978,0.000060,0.000000,0.000075,0.000436,0.000163,0.080078,0.036902,0.014307,33.000000,0.289451,0.000194,0.996778,0.000000,0.000000
-87.932333,0.012616,0.000085,7.278631,7.278716,144.644830,144.644803,1.619159,1.570561,0.000086,0.007396,0.695693,0.695682,0.695623,0.452142,0.695583,0.000191,0.497714,0.264961,0.001006,0.999549,0.573572,0.000512,0.999549,0.624756,0.000000,1.000000,0.899066,1.000000,0.999727,0.999963,1.000000,1.000000,0.002759,0.846485,0.000059,0.000000,0.000074,0.000523,0.000195,0.092463,0.043442,0.016759,33.000000,0.291155,0.000194,0.996778,0.000000,0.000000
-87.932448,0.012589,0.000085,7.278663,7.278748,144.644927,144.644900,1.618494,1.570010,0.000086,0.007396,0.695697,0.695686,0.695627,0.452147,0.695587,0.000191,0.497881,0.265372,0.001006,0.999549,0.574576,0.000512,0.999549,0.625900,0.000000,1.000000,0.899877,1.000000,0.999733,0.999964,1.000000,1.000000,0.002755,0.857521,0.000059,0.000000,0.000075,0.000471,0.000176,0.086281,0.040047,0.015371,33.000000,0.289754,0.000194,0.996778,0.000000,0.000000
-87.932250,0.012641,0.000085,7.278674,7.278760,144.644658,144.644631,1.619817,1.571101,0.000086,0.007396,0.695690,0.695679,0.695620,0.452138,0.695580,0.000191,0.497775,0.265128,0.001006,0.999549,0.573964,0.000512,0.999549,0.625176,0.000000,1.000000,0.899217,1.000000,0.999729,0.999964,1.000000,1.000000,0.002761,0.852590,0.000059,0.000000,0.000074,0.000453,0.000169,0.089800,0.041182,0.015672,33.000000,0.290826,0.000194,0.996778,0.000000,0.000000
-87.932348,0.012642,0.000085,7.278696,7.278782,144.644666,144.644639,1.619674,1.570934,0.000086,0.007396,0.695693,0.695683,0.695623,0.452142,0.695583,0.000191,0.497967,0.265581,0.001006,0.999549,0.575145,0.000512,0.999549,0.626509,0.000000,1.000000,0.900025,1.000000,0.999735,0.999964,1.000000,1.000000,0.002759,0.866641,0.000060,0.000000,0.000076,0.000517,0.000193,0.079652,0.037995,0.014866,33.000000,0.289517,0.000194,0.996778,0.000000,0.000000
-87.932352,0.012660,0.000085,7.278603,7.278689,144.644748,144.644721,1.619742,1.570840,0.000086,0.007396,0.695693,0.695683,0.695623,0.452142,0.695583,0.000191,0.497646,0.264797,0.001006,0.999549,0.573166,0.000512,0.999549,0.624287,0.000000,1.000000,0.898728,1.000000,0.999725,0.999963,1.000000,1.000000,0.002761,0.842506,0.000058,0.000000,0.000074,0.000526,0.000197,0.094924,0.044479,0.017237,33.000000,0.291797,0.000194,0.996778,0.000000,0.000000
-87.932408,0.012592,0.000085,7.278984,7.279069,144.644544,144.644517,1.618806,1.570355,0.000086,0.007396,0.695695,0.695685,0.695626,0.452145,0.695586,0.000191,0.498255,0.266308,0.001006,0.999549,0.576918,0.000512,0.999549,0.628521,0.000000,1.000000,0.901320,1.000000,0.999744,0.999966,1.000000,1.000000,0.002755,0.889225,0.000062,0.000000,0.000077,0.000393,0.000146,0.067157,0.030943,0.011997,33.000000,0.287145,0.000194,0.996778,0.000000,0.000000
-87.932289,0.012644,0.000085,7.278855,7.278941,144.644461,144.644434,1.619902,1.571180,0.000086,0.007396,0.695691,0.695681,0.695621,0.452140,0.695581,0.000191,0.498070,0.265846,0.001006,0.999549,0.575772,0.000512,0.999549,0.627199,0.000000,1.000000,0.900299,1.000000,0.999737,0.999965,1.000000,1.000000,0.002760,0.879747,0.000061,0.000000,0.000076,0.000430,0.000160,0.072666,0.033800,0.013061,33.000000,0.288984,0.000194,0.996778,0.000000,0.000000
