V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.934850,0.011425,0.000084,7.283082,7.283167,144.647870,144.647843,1.598733,1.556449,0.000085,0.007394,0.695780,0.695771,0.695717,0.452248,0.695681,0.000191,0.500478,0.272188,0.001006,0.999549,0.591831,0.000512,0.999549,0.647008,0.000000,1.000000,0.917212,1.000000,0.999823,0.999975,1.000000,1.000000,0.002674,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.257732,0.000194,0.996777,0.000000,0.000000
-87.935744,0.011111,0.000084,7.282957,7.283042,144.649414,144.649387,1.590271,1.549298,0.000085,0.007393,0.695811,0.695802,0.695750,0.452286,0.695715,0.000191,0.500762,0.272909,0.001006,0.999549,0.593675,0.000512,0.999549,0.649540,0.000000,1.000000,0.919774,1.000000,0.999834,0.999976,1.000000,1.000000,0.002638,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252766,0.000194,0.996777,0.000000,0.000000
-87.935603,0.011160,0.000084,7.282978,7.283062,144.649171,144.649144,1.591595,1.550419,0.000085,0.007393,0.695806,0.695797,0.695745,0.452280,0.695710,0.000191,0.500717,0.272795,0.001006,0.999549,0.593383,0.000512,0.999549,0.649137,0.000000,1.000000,0.919371,1.000000,0.999832,0.999976,1.000000,1.000000,0.002644,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253552,0.000194,0.996777,0.000000,0.000000
-87.935872,0.011067,0.000084,7.282938,7.283022,144.649635,144.649608,1.589068,1.548279,0.000085,0.007393,0.695816,0.695807,0.695755,0.452291,0.695720,0.000191,0.500802,0.273012,0.001006,0.999549,0.593942,0.000512,0.999549,0.649910,0.000000,1.000000,0.920142,1.000000,0.999835,0.999977,1.000000,1.000000,0.002633,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252047,0.000194,0.996777,0.000000,0.000000
-87.936024,0.011014,0.000084,7.282915,7.282999,144.649898,144.649871,1.587643,1.547071,0.000085,0.007393,0.695821,0.695812,0.695760,0.452297,0.695726,0.000191,0.500850,0.273135,0.001006,0.999549,0.594259,0.000512,0.999549,0.650350,0.000000,1.000000,0.920578,1.000000,0.999837,0.999977,1.000000,1.000000,0.002627,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251191,0.000194,0.996777,0.000000,0.000000
-87.935744,0.011112,0.000084,7.282957,7.283042,144.649413,144.649386,1.590277,1.549303,0.000085,0.007393,0.695811,0.695802,0.695750,0.452286,0.695715,0.000191,0.500761,0.272908,0.001006,0.999549,0.593674,0.000512,0.999549,0.649538,0.000000,1.000000,0.919772,1.000000,0.999834,0.999976,1.000000,1.000000,0.002638,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252769,0.000194,0.996777,0.000000,0.000000
-87.935664,0.011139,0.000084,7.282969,7.283053,144.649276,144.649249,1.591024,1.549936,0.000085,0.007393,0.695809,0.695799,0.695747,0.452282,0.695712,0.000191,0.500736,0.272844,0.001006,0.999549,0.593509,0.000512,0.999549,0.649310,0.000000,1.000000,0.919544,1.000000,0.999833,0.999976,1.000000,1.000000,0.002641,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253214,0.000194,0.996777,0.000000,0.000000
-87.936262,0.010932,0.000084,7.282854,7.282938,144.650331,144.650304,1.585435,1.545200,0.000085,0.007393,0.695829,0.695820,0.695769,0.452307,0.695735,0.000191,0.500929,0.273339,0.001006,0.999549,0.594790,0.000512,0.999549,0.651085,0.000000,1.000000,0.921289,1.000000,0.999840,0.999977,1.000000,1.000000,0.002617,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.249791,0.000194,0.996777,0.000000,0.000000
-87.935106,0.011352,0.000084,7.282470,7.282555,144.648805,144.648778,1.596901,1.554919,0.000085,0.007394,0.695789,0.695780,0.695727,0.452259,0.695691,0.000191,0.500656,0.272672,0.001006,0.999549,0.593103,0.000512,0.999549,0.648621,0.000000,1.000000,0.918557,1.000000,0.999829,0.999976,1.000000,1.000000,0.002666,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.255079,0.000194,0.996777,0.000000,0.000000
-87.935402,0.011248,0.000084,7.282426,7.282510,144.649318,144.649291,1.594102,1.552556,0.000085,0.007393,0.695799,0.695790,0.695737,0.452271,0.695702,0.000191,0.500750,0.272912,0.001006,0.999549,0.593718,0.000512,0.999549,0.649466,0.000000,1.000000,0.919404,1.000000,0.999833,0.999976,1.000000,1.000000,0.002654,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253431,0.000194,0.996777,0.000000,0.000000
