Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
0.005001,-87.966071,-0.000182,0.000073,-0.002485,-0.000326,-0.000000,-0.000003,-0.000033,-0.007448,-0.000000
0.010001,-87.966072,-0.000182,0.000073,-0.002485,-0.000326,-0.000000,-0.000003,-0.000033,-0.007448,-0.000000
0.015001,-87.966073,-0.000182,0.000073,-0.002485,-0.000326,-0.000000,-0.000003,-0.000033,-0.007449,-0.000000
0.020001,-87.966074,-0.000182,0.000073,-0.002485,-0.000326,-0.000000,-0.000003,-0.000033,-0.007449,-0.000000
0.025001,-87.966074,-0.000182,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007449,-0.000000
0.030001,-87.966075,-0.000181,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007450,-0.000000
0.035001,-87.966076,-0.000181,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007450,-0.000000
0.040001,-87.966077,-0.000181,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007450,-0.000000
0.045001,-87.966078,-0.000181,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007450,-0.000000
0.050001,-87.966079,-0.000181,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007451,-0.000000
0.055001,-87.966080,-0.000180,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007451,-0.000000
0.060001,-87.966081,-0.000180,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007451,-0.000000
0.065001,-87.966082,-0.000180,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007451,-0.000000
0.070001,-87.966083,-0.000180,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007452,-0.000000
0.075001,-87.966083,-0.000179,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007452,-0.000000
0.080001,-87.966084,-0.000179,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007452,-0.000000
0.085001,-87.966085,-0.000179,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007453,-0.000000
0.090001,-87.966086,-0.000178,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007453,-0.000000
0.095001,-87.966087,-0.000178,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007453,-0.000000
0.100001,-87.966088,-0.000178,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007453,-0.000000
0.105001,-87.966089,-0.000178,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007454,-0.000000
0.110001,-87.966090,-0.000177,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007454,-0.000000
0.115001,-87.966091,-0.000177,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007454,-0.000000
0.120001,-87.966091,-0.000177,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007454,-0.000000
0.125001,-87.966092,-0.000177,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007455,-0.000000
0.130001,-87.966093,-0.000176,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007455,-0.000000
0.135001,-87.966094,-0.000176,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007455,-0.000000
0.140001,-87.966095,-0.000176,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007455,-0.000000
0.145001,-87.966096,-0.000176,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007456,-0.000000
0.150001,-87.966097,-0.000175,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007456,-0.000000
0.155001,-87.966098,-0.000175,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007456,-0.000000
0.160001,-87.966099,-0.000175,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007456,-0.000000
0.165001,-87.966099,-0.000175,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007457,-0.000000
0.170001,-87.966100,-0.000174,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007457,-0.000000
0.175001,-87.966101,-0.000174,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007457,-0.000000
0.180001,-87.966102,-0.000174,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007458,-0.000000
0.185001,-87.966103,-0.000173,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007458,-0.000000
0.190001,-87.966104,-0.000173,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007458,-0.000000
0.195001,-87.966105,-0.000173,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007458,-0.000000
0.200001,-87.966105,-0.000173,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007459,-0.000000
0.205001,-87.966106,-0.000172,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007459,-0.000000
0.210001,-87.966107,-0.000172,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007459,-0.000000
0.215001,-87.966108,-0.000172,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007459,-0.000000
0.220001,-87.966109,-0.000172,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007460,-0.000000
0.225001,-87.966110,-0.000171,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007460,-0.000000
0.230001,-87.966111,-0.000171,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007460,-0.000000
0.235001,-87.966111,-0.000171,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007460,-0.000000
0.240001,-87.966112,-0.000171,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007461,-0.000000
0.245001,-87.966113,-0.000170,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007461,-0.000000
0.250001,-87.966114,-0.000170,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007461,-0.000000
0.255001,-87.966115,-0.000170,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007461,-0.000000
0.260001,-87.966116,-0.000170,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007462,-0.000000
0.265001,-87.966117,-0.000169,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007462,-0.000000
0.270001,-87.966117,-0.000169,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007462,-0.000000
0.275001,-87.966118,-0.000169,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007462,-0.000000
0.280001,-87.966119,-0.000169,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007463,-0.000000
0.285001,-87.966120,-0.000168,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007463,-0.000000
0.290001,-87.966121,-0.000168,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007463,-0.000000
0.295001,-87.966122,-0.000168,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007463,-0.000000
0.300001,-87.966122,-0.000168,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007464,-0.000000
0.305001,-87.966123,-0.000167,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007464,-0.000000
0.310001,-87.966124,-0.000167,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007464,-0.000000
0.315001,-87.966125,-0.000167,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007464,-0.000000
0.320001,-87.966126,-0.000167,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007465,-0.000000
0.325001,-87.966127,-0.000166,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007465,-0.000000
0.330001,-87.966127,-0.000166,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007465,-0.000000
0.335001,-87.966128,-0.000166,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007465,-0.000000
0.340001,-87.966129,-0.000166,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007466,-0.000000
0.345001,-87.966130,-0.000165,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007466,-0.000000
0.350001,-87.966131,-0.000165,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007466,-0.000000
0.355001,-87.966132,-0.000165,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007466,-0.000000
0.360001,-87.966132,-0.000165,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007467,-0.000000
0.365001,-87.966133,-0.000164,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007467,-0.000000
0.370001,-87.966134,-0.000164,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007467,-0.000000
0.375001,-87.966135,-0.000164,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007467,-0.000000
0.380001,-87.966136,-0.000164,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007468,-0.000000
0.385001,-87.966137,-0.000163,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007468,-0.000000
0.390001,-87.966137,-0.000163,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007468,-0.000000
0.395001,-87.966138,-0.000163,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007468,-0.000000
0.400001,-87.966139,-0.000163,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007469,-0.000000
0.405001,-87.966140,-0.000162,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007469,-0.000000
0.410001,-87.966141,-0.000162,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007469,-0.000000
0.415001,-87.966141,-0.000162,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007469,-0.000000
0.420001,-87.966142,-0.000162,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007470,-0.000000
0.425001,-87.966143,-0.000161,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007470,-0.000000
0.430001,-87.966144,-0.000161,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007470,-0.000000
0.435001,-87.966145,-0.000161,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007470,-0.000000
0.440001,-87.966145,-0.000161,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007471,-0.000000
0.445001,-87.966146,-0.000160,0.000073,-0.002485,-0.000325,-0.000000,-0.000003,-0.000033,-0.007471,-0.000000
